,job_title,salary,working_years,education,company,company_address,industry,is_public,employee_numbers,job_detail_url
31,数据分析师（金融数据方向）,12-24K,3-5年,本科,金科文化,杭州 西湖区 西溪,互联网,已上市,1000-9999人,https://www.zhipin.com/job_detail/a80e27f46a29deb81Hd92Ni5FFc~.html
32,数据分析师,11-17K,3-5年,本科,联保网络,杭州  ,移动互联网,A轮,20-99人,https://www.zhipin.com/job_detail/828c4edd1d98fae91Xd80ti-ElA~.html
33,数据分析,8-13K,1-3年,大专,杭州百放科技有限公司,杭州 西湖区 西溪,互联网,不需要融资,20-99人,https://www.zhipin.com/job_detail/aecc840bbcc831591Hd939y1FlQ~.html
34,BI数据分析师,25-45K,3-5年,本科,呆萝卜,杭州 拱墅区 大关,电子商务,B轮,1000-9999人,https://www.zhipin.com/job_detail/3ee3e61be3b68a5f1HBz2NS1E1Q~.html
35,数据分析经理,15-22K,3-5年,本科,垂衣,杭州 滨江区 长河,电子商务,A轮,100-499人,https://www.zhipin.com/job_detail/a4af3eda2cddf8341HBz09m7FFA~.html
36,数据分析师,12-24K,3-5年,本科,币港湾,杭州 江干区 四季青,互联网金融,不需要融资,100-499人,https://www.zhipin.com/job_detail/1fdea97cd52b63760XF_2tS0FA~~.html
37,商品数据分析,4-7K,经验不限,大专,凯蓝企业,杭州 江干区 景芳,生活服务,不需要融资,1000-9999人,https://www.zhipin.com/job_detail/7a49093eeddaee671XN-0960FVo~.html
38,数据分析师,25-35K,3-5年,本科,蚂蚁金服,杭州 西湖区 古荡,互联网,C轮,10000人以上,https://www.zhipin.com/job_detail/20099ae73ed2f3201Hd63dq5GFI~.html
39,数据分析,6-8K,3-5年,本科,杭州盛锋,杭州 拱墅区 湖墅南路,其他专业服务,不需要融资,20-99人,https://www.zhipin.com/job_detail/c4cdd0bf70745f371HB529q_FVM~.html
40,数据分析师,10-20K,1-3年,硕士,杭州心景科技有限公司,杭州 滨江区 长河,互联网,天使轮,20-99人,https://www.zhipin.com/job_detail/cd5144d2a43b3acd1XV539W1EFM~.html
41,数据分析师（游戏）,12-24K,3-5年,本科,金科文化,杭州 西湖区 西溪,互联网,已上市,1000-9999人,https://www.zhipin.com/job_detail/e9331025187893c61Hd92Ni8GFM~.html
42,数据分析高P职位,30-60K,5-10年,硕士,菜鸟网络,杭州 西湖区 西溪,互联网,B轮,1000-9999人,https://www.zhipin.com/job_detail/7e64bd90b7e1a1471XV43NS7E1c~.html
43,数据分析,20-40K,3-5年,本科,菲助科技,杭州 滨江区 长河,互联网,C轮,100-499人,https://www.zhipin.com/job_detail/d513531d3e2b13891Xx709m0FFE~.html
44,高级数据分析师,20-30K,5-10年,本科,闪银奇异,杭州 江干区 白杨,移动互联网,D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/6997121928c17f8a1HB-3d6-FVo~.html
45,数据分析师,11-18K,5-10年,本科,城云科技,杭州 西湖区 黄龙,互联网,C轮,500-999人,https://www.zhipin.com/job_detail/1e36a39ebbc228111HV829S1FlI~.html
46,资深数据分析师,20-30K,3-5年,本科,贝贝集团,杭州 江干区 九堡,互联网,D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/37290a94a55b38ae1XB_2t-0Elo~.html
47,资深数据分析师/数据分析专家,20-40K,5-10年,本科,网易,杭州 滨江区 长河,移动互联网,已上市,10000人以上,https://www.zhipin.com/job_detail/41ae21c38bdc88221HZ7096_E1Y~.html
48,数据分析工程师,20-30K,3-5年,本科,玖欣物联,杭州 滨江区 滨江区政府,互联网,不需要融资,20-99人,https://www.zhipin.com/job_detail/7025d7255b4e09941Hd53dm-FVQ~.html
49,产品数据分析师,20-40K,3-5年,本科,阿里巴巴集团,杭州 滨江区 长河,互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/a8b28b78b3e9f9341XJ839-7FVA~.html
50,商业数据分析,6-8K,3-5年,本科,企事通集团,杭州 江干区 ,贸易/进出口,未融资,500-999人,https://www.zhipin.com/job_detail/4ff5b790239427491nx_2tW6FFs~.html
51,数据分析师,12-20K,1-3年,大专,合提信息科技,杭州  ,企业服务,未融资,20-99人,https://www.zhipin.com/job_detail/eb3b12284e68c2881HB_09i9GFs~.html
52,数据分析师,8-15K,1-3年,大专,babycare,杭州 滨江区 长河,电子商务,不需要融资,500-999人,https://www.zhipin.com/job_detail/98fc60d80c9d71e31XR62Ny7GVc~.html
53,高级数据分析师,15-20K,3-5年,本科,杭州蒲公英数据科技,杭州 江干区 四季青,互联网,B轮,100-499人,https://www.zhipin.com/job_detail/403732e111e653ce1XB92t6_FVY~.html
54,资深数据分析师,15-30K,5-10年,本科,霖梓控股,杭州  ,互联网,B轮,100-499人,https://www.zhipin.com/job_detail/fabddc44ba9320301Xd_3t20FVU~.html
55,数据分析师,15-30K,3-5年,本科,杭州斯凯网络,杭州 西湖区 西溪,移动互联网,不需要融资,100-499人,https://www.zhipin.com/job_detail/cc6e41c1d4a0a8d11HJ-3965GVo~.html
56,高级数据分析师,10-20K,3-5年,本科,橙鹰,杭州  ,数据服务,不需要融资,100-499人,https://www.zhipin.com/job_detail/5a395835a2be3c011nB62tu6EFc~.html
57,数据分析师（供应链方向）,15-22K,3-5年,本科,新康众集团,杭州 余杭区 仓前,新零售,不需要融资,1000-9999人,https://www.zhipin.com/job_detail/c102b83623f2fd571HV40tq5FlQ~.html
58,数据分析/算法工程师,16-30K,3-5年,本科,华为,杭州 滨江区 长河,计算机软件,不需要融资,10000人以上,https://www.zhipin.com/job_detail/4f4d74fd2fa359fa1HR42Nu0FFQ~.html
59,BI数据分析师,10-20K,3-5年,本科,亲宝宝,杭州 西湖区 西溪,互联网,C轮,100-499人,https://www.zhipin.com/job_detail/b44795189e7e16c61XBy3du_FVs~.html
60,商业数据分析师,15-30K,3-5年,本科,伊电园,杭州 余杭区 仓前,生活服务,C轮,1000-9999人,https://www.zhipin.com/job_detail/795e9e1eed62b1641Xx_29--EVc~.html
61,数据分析师,8-13K,1-3年,本科,瑞天欣实,杭州  ,数据服务,A轮,20-99人,https://www.zhipin.com/job_detail/a1bb671881f1a8fb1HB43NW6FFE~.html
62,数据分析师,3-4/天,经验不限,本科,个推,杭州 西湖区 文一路,移动互联网,已上市,500-999人,https://www.zhipin.com/job_detail/49259c86bd7eb2d31XFy29m-Flc~.html
63,数据分析师,10-15K,1-3年,大专,纳之风贸易,杭州 滨江区 长河,电子商务,未融资,100-499人,https://www.zhipin.com/job_detail/66287feeff9b19cb1HB72ty0ElY~.html
64,数据分析专员,5-8K,1-3年,大专,杭州湃沃电商,杭州  ,电子商务,未融资,100-499人,https://www.zhipin.com/job_detail/ba063584d5f6b4fc1Xd93dm7FFQ~.html
65,数据分析师,12-20K,1-3年,硕士,杭州斯凯网络,杭州 西湖区 西溪,移动互联网,不需要融资,100-499人,https://www.zhipin.com/job_detail/a32a3f1f04cd78ec1HV609y-FFU~.html
66,高级数据分析师,15-30K,3-5年,本科,嘉云数据,杭州 西湖区 文三路,移动互联网,C轮,500-999人,https://www.zhipin.com/job_detail/d8e54daccf77e9fb1Xd42N66GFY~.html
67,数据分析师,10-15K,经验不限,本科,仁润科技,杭州 余杭区 仓前,互联网,已上市,20-99人,https://www.zhipin.com/job_detail/7be510c16c2e88dc1HJ-29S7FVc~.html
68,高级数据分析师,10-15K,3-5年,本科,51公积金管家,杭州 西湖区 西溪,移动互联网,B轮,100-499人,https://www.zhipin.com/job_detail/28cc200d4afcf8291HB429-_FFo~.html
69,数据分析师,20-40K,3-5年,大专,D2C,杭州 西湖区 虎跑,电子商务,B轮,100-499人,https://www.zhipin.com/job_detail/5dc831566864df501nV-2N2_GVY~.html
70,数据分析师,12-20K,3-5年,本科,宇博信诚,杭州 江干区 采荷,计算机软件,未融资,100-499人,https://www.zhipin.com/job_detail/7e61ca090f4c9deb1HJ53925F1A~.html
71,临床数据分析,21-30K,3-5年,本科,麦歌算法,杭州 滨江区 浦沿,医疗健康,A轮,20-99人,https://www.zhipin.com/job_detail/95837bf122be36651XVy2N29ElI~.html
72,商业数据分析,18-36K,3-5年,大专,D2C,杭州 西湖区 虎跑,电子商务,B轮,100-499人,https://www.zhipin.com/job_detail/dc1dc90d696d4dd01nV_0ti4GFI~.html
73,资深/专家游戏数据分析师,15-30K,3-5年,本科,网易游戏,杭州 滨江区 长河,游戏,已上市,10000人以上,https://www.zhipin.com/job_detail/95e52be286d91bce1n1_0tm8FFQ~.html
74,数据分析师BI,10-20K,3-5年,本科,海带,杭州 西湖区 文一路,互联网,A轮,100-499人,https://www.zhipin.com/job_detail/1c8518a2717db1d11nBz3tW9FFc~.html
75,B2B商业产品经理(数据分析方向),25-35K,3-5年,本科,阿里巴巴集团,杭州 滨江区 长河,互联网,不需要融资,10000人以上,https://www.zhipin.com/job_detail/8df9f126fd20f6881Hd43Nm4FFE~.html
76,资深数据分析师,20-40K,3-5年,本科,米橙科技,杭州 西湖区 西湖,移动互联网,B轮,100-499人,https://www.zhipin.com/job_detail/d2eb5528a14f9a581n1-0tq7F1U~.html
77,"数据分析师（KPI,财务方向）",15-22K,3-5年,本科,新康众集团,杭州 余杭区 仓前,新零售,不需要融资,1000-9999人,https://www.zhipin.com/job_detail/8e998f7336755e341HV40tu8EFc~.html
78,算法工程师/数据分析师,12-20K,3-5年,本科,美创科技,杭州 拱墅区 古墩路,信息安全,C轮,100-499人,https://www.zhipin.com/job_detail/bc426a03a499db951HV80tW6GFs~.html
79,网易严选-资深数据分析师,25-40K,5-10年,本科,网易杭州,杭州 滨江区 长河,互联网,已上市,10000人以上,https://www.zhipin.com/job_detail/46f2a338e09f0c331Hd72tq-FVs~.html
80,数据分析师,8-12K,1-3年,本科,有数金融,杭州 江干区 九堡,互联网,A轮,100-499人,https://www.zhipin.com/job_detail/41562e81b08534d81HBy39m0F1s~.html
81,机器学习数据分析实习生,4-8/天,经验不限,本科,iLabService,杭州 余杭区 仓前,企业服务,天使轮,20-99人,https://www.zhipin.com/job_detail/c49d8b8b61696b1e1Xx439S9FVs~.html
82,数据分析运营,10-20K,1-3年,学历不限,亦优贸易,杭州 西湖区 三墩,电子商务,不需要融资,1000-9999人,https://www.zhipin.com/job_detail/f568f7ed0f0f68ca1Xxy2N66FFo~.html
