,0,1,2,3,4,5,6,7,8,9,10,11,12,13
27,5816213,深圳,滴滴优点科技（深圳）有限公司,"['定期体检', '绩效奖金', '领导好', '五险一金']",50-150人,移动互联网,A轮,福田区,硕士,产品|需求|项目类,3天前发布,数据分析师,15k-30k,3-5年
28,5524923,深圳,深圳市立创电子商务有限公司,"['节日礼物', '五险一金', '水果、下午茶', '带薪年假']",150-500人,"电子商务,硬件",A轮,福田区,不限,产品|需求|项目类,3天前发布,数据分析师（用户）,6k-10k,不限
29,5748069,深圳,深圳微融信息科技有限公司,"['专项奖金', '定期体检', '带薪年假', '绩效奖金']",50-150人,"移动互联网,金融",不需要融资,南山区,本科,产品|需求|项目类,3天前发布,数据分析师,9k-15k,1-3年
30,5355366,深圳,杭州观数信息科技有限公司,"['股票期权', '绩效奖金', '带薪年假', '弹性工作']",50-150人,"企业服务,数据服务",A轮,南山区,本科,产品|需求|项目类,3天前发布,数据分析师,15k-30k,1-3年
31,5799371,深圳,北京字节跳动科技有限公司,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",2000人以上,"移动互联网,数据服务",C轮,南山区,本科,产品|需求|项目类,1天前发布,数据分析专家,35k-70k,不限
32,5758103,深圳,深圳前海达飞金融服务有限公司,"['年底双薪', '节日礼物', '技能培训', '年度旅游']",500-2000人,金融,D轮及以上,福田区,本科,开发|测试|运维类,3天前发布,数据分析师（经营管理）,8k-15k,1-3年
33,5237655,深圳,深圳市瑞宝麟财富投资管理有限公司,"['带薪年假', '节日礼物', '领导好', '弹性工作']",2000人以上,金融,不需要融资,南山区,本科,开发|测试|运维类,2019-05-09,数据分析,10k-15k,1-3年
34,5524909,深圳,深圳市立创电子商务有限公司,"['节日礼物', '五险一金', '水果、下午茶', '带薪年假']",150-500人,"电子商务,硬件",A轮,福田区,本科,产品|需求|项目类,3天前发布,数据分析师（商品方向）,15k-20k,3-5年
35,5906062,深圳,北京希为科技有限公司,"['股票期权', '带薪年假', '绩效奖金', '弹性工作']",50-150人,"企业服务,金融",不需要融资,罗湖区,本科,开发|测试|运维类,3天前发布,数据分析师（ETL方向）,10k-15k,1-3年
36,5819995,深圳,上海腾梭科技有限公司,"['带薪年假', '股票期权', '午餐补助', '定期体检']",150-500人,"金融,人工智能",A轮,南山区,本科,产品|需求|项目类,3天前发布,数据分析师,15k-30k,3-5年
37,5559632,深圳,海南新浪爱问普惠科技有限公司,"['午餐补助', '通讯津贴', '带薪年假', '交通补助']",500-2000人,金融,未融资,南山区,本科,产品|需求|项目类,3天前发布,数据分析师,15k-20k,3-5年
38,5004419,深圳,维沃移动通信有限公司,"['年终分红', '带薪年假', '年度旅游', '岗位晋升']",2000人以上,移动互联网,未融资,宝安区,本科,开发|测试|运维类,3天前发布,【急招】数据分析师（互联网）,20k-30k,3-5年
39,5298474,深圳,深圳前海联动云汽车租赁有限公司,"['O2O', '带薪年假', '交通补助', '午餐补助']",2000人以上,"O2O,生活服务",不需要融资,罗湖区,本科,产品|需求|项目类,2019-05-07,数据分析师,7k-14k,1-3年
