,0,1,2,3,4,5,6,7,8,9,10,11,12,13
28,5709378,杭州,杭州尚尚签网络科技有限公司,"['顶级风投融资', '靠谱团队', '结果导向', '弹性工作']",150-500人,"移动互联网,企业服务",C轮,西湖区,本科,产品|需求|项目类,3天前发布,数据分析师,15k-25k,1-3年
29,5872258,杭州,云集共享科技有限公司,"['绩效奖金', '股票期权', '五险一金', '午餐补助']",500-2000人,"电子商务,移动互联网",上市公司,萧山区,不限,开发|测试|运维类,3天前发布,00680-数据分析,10k-20k,3-5年
30,3973887,杭州,同盾科技有限公司,"['技能培训', '股票期权', '绩效奖金', '岗位晋升']",500-2000人,"信息安全,数据服务",C轮,余杭区,本科,开发|测试|运维类,15:00发布,数据分析师-杭州-00400,10k-20k,3-5年
31,5937449,杭州,杭州大搜车汽车服务有限公司,"['技能培训', 'Geek', '开放', '扁平管理']",2000人以上,"移动互联网,O2O",D轮及以上,余杭区,本科,产品|需求|项目类,1天前发布,资深数据分析师03-06-153,15k-25k,3-5年
32,5767142,杭州,杭州微拍堂文化创意有限公司,"['岗位晋升', '年度旅游', '年底双薪', '午餐补助']",150-500人,移动互联网,A轮,西湖区,大专,产品|需求|项目类,11:30发布,数据分析师,15k-25k,3-5年
33,5683650,杭州,杭州观数信息科技有限公司,"['股票期权', '绩效奖金', '带薪年假', '弹性工作']",50-150人,"企业服务,数据服务",A轮,余杭区,本科,开发|测试|运维类,09:26发布,解决方案顾问/数据分析师,10k-20k,3-5年
34,4265476,杭州,杭州光云科技股份有限公司,"['绩效奖金', '五险一金', '节日礼物', '定期体检']",500-2000人,"电子商务,数据服务",不需要融资,滨江区,本科,开发|测试|运维类,2019-05-12,数据分析师,15k-25k,3-5年
35,5887573,杭州,杭州微众电子商务有限公司,[],500-2000人,"移动互联网,电子商务",不需要融资,下沙,本科,产品|需求|项目类,2019-05-09,数据分析师,15k-30k,5-10年
36,5374355,杭州,上海依图信息技术有限公司,"['技能培训', '带薪年假', '绩效奖金', '扁平管理']",150-500人,数据服务,C轮,西湖区,本科,产品|需求|项目类,2019-04-26,数据分析师 (MJ000634),8k-16k,1-3年
37,5738476,杭州,杭州安恒信息技术股份有限公司,"['年终分红', '股票期权', '绩效奖金', '五险一金']",500-2000人,"信息安全 ,数据服务",D轮及以上,滨江区,本科,产品|需求|项目类,18:36发布,数据分析工程师,13k-20k,1-3年
38,4602329,杭州,郑州点读电子科技有限公司,"['氛围好', '充满童趣', '带薪年假', '岗位晋升']",150-500人,"移动互联网,电子商务",A轮,滨江区,本科,开发|测试|运维类,11:46发布,数据分析工程师,13k-25k,3-5年
39,4309857,杭州,杭州嘉云数据科技有限公司,"['海量大数据', '世界级产品', 'AI', '智能供应链']",150-500人,"电子商务,移动互联网",C轮,西湖区,本科,产品|需求|项目类,18:55发布,数据分析专家,15k-25k,3-5年
40,5793402,杭州,同盾科技有限公司,"['技能培训', '股票期权', '绩效奖金', '岗位晋升']",500-2000人,"信息安全,数据服务",C轮,余杭区,本科,开发|测试|运维类,15:00发布,资深数据分析顾问-01508,10k-20k,3-5年
41,4364061,杭州,杭州点望科技有限公司,"['畅想姨妈假', '全额公积金', '全额产假工资', '专业育儿团队']",150-500人,"移动互联网,社交网络",C轮,西湖区,本科,开发|测试|运维类,09:46发布,资深数据分析,15k-25k,3-5年
42,5908425,杭州,上海婚家婴会展服务有限公司成都分公司,"['技能培训', '领导好', '美女多', '帅哥多']",500-2000人,其他,不需要融资,下城区,本科,开发|测试|运维类,09:37发布,资深数据分析师,20k-35k,3-5年
43,5673903,杭州,杭州多准数据技术有限公司,"['开放式办公', '扁平管理', '带薪假期', '弹性工作时间']",50-150人,"数据服务,广告营销",A轮,西湖区,本科,市场|商务类,18:02发布,数据分析专家,25k-50k,5-10年
44,5399762,杭州,杭州有赞科技有限公司,"['工程师氛围', '弹性工作', '扁平管理', '上班不打卡']",2000人以上,"移动互联网,企业服务",上市公司,西湖区,本科,开发|测试|运维类,09:43发布,资深数据分析师,18k-32k,3-5年
45,5344632,杭州,维沃移动通信有限公司,"['年终分红', '带薪年假', '年度旅游', '岗位晋升']",2000人以上,移动互联网,未融资,西湖区,本科,运营|编辑|客服类,15:20发布,数据分析助理,4k-7k,1-3年
46,5673904,杭州,杭州多准数据技术有限公司,"['开放式办公', '扁平管理', '带薪假期', '弹性工作时间']",50-150人,"数据服务,广告营销",A轮,西湖区,本科,市场|商务类,18:02发布,资深数据分析师,15k-25k,3-5年
47,4910227,杭州,杭州微易信息科技有限公司,"['节日礼物', '带薪年假', '年度旅游', '定期体检']",150-500人,"移动互联网,金融",B轮,西湖区,本科,开发|测试|运维类,1天前发布,资深数据分析师 （3年以上偏业务方向的BI经验）,13k-25k,3-5年
48,5533108,杭州,国铁吉讯科技有限公司,"['技术大牛', '领导nice', '帅哥美女', '环境超棒']",150-500人,移动互联网,不需要融资,滨江区,本科,开发|测试|运维类,2019-05-10,数据分析工程师,15k-25k,3-5年
49,4915912,杭州,同盾科技有限公司,"['技能培训', '股票期权', '绩效奖金', '岗位晋升']",500-2000人,"信息安全,数据服务",C轮,余杭区,硕士,产品|需求|项目类,15:00发布,数据分析专家-杭州-00960,15k-30k,3-5年
50,5756358,杭州,广州哆啦科技有限公司,"['六险一金', '不打卡', '姨妈假', '扁平管理']",2000人以上,"电子商务,移动互联网",C轮,西湖区,本科,开发|测试|运维类,14:54发布,资深数据分析师 - 杭州,25k-40k,5-10年
51,5036694,杭州,云集共享科技有限公司,"['绩效奖金', '股票期权', '五险一金', '午餐补助']",500-2000人,"电子商务,移动互联网",上市公司,萧山区,本科,开发|测试|运维类,1天前发布,00037-资深数据分析师/数据分析专家,20k-40k,5-10年
52,5703475,杭州,杭州微众电子商务有限公司,[],500-2000人,"移动互联网,电子商务",不需要融资,下沙,本科,产品|需求|项目类,2019-05-09,数据分析经理,15k-20k,5-10年
53,5849466,杭州,支付宝（杭州）信息技术有限公司,"['年底双薪', '带薪年假', '股票期权', '绩效奖金']",2000人以上,"金融,移动互联网",B轮,西湖区,本科,产品|需求|项目类,2019-05-07,数据分析专家,30k-40k,5-10年
54,5822597,杭州,杭州群核信息技术有限公司,"['两次加薪', '弹性工作', '期权丰厚', '两次晋升']",500-2000人,移动互联网,D轮及以上,拱墅区,本科,开发|测试|运维类,2019-05-05,资深数据分析师,19k-28k,3-5年
55,4362816,杭州,杭州嘉云数据科技有限公司,"['海量大数据', '世界级产品', 'AI', '智能供应链']",150-500人,"电子商务,移动互联网",C轮,西湖区,本科,产品|需求|项目类,18:55发布,高级数据分析师,20k-30k,3-5年
56,4527223,杭州,杭州洋驼网络科技有限公司,"['股票期权', '带薪年假', '绩效奖金', '年终分红']",500-2000人,电子商务,C轮,西湖区,本科,产品|需求|项目类,09:43发布,高级数据分析师,15k-30k,3-5年
57,5828926,杭州,浙江钱粒科技有限公司,"['弹性工作', '扁平管理', '节日福利', '大牛多']",150-500人,移动互联网,A轮,西湖区,本科,开发|测试|运维类,10:51发布,高级数据分析师,15k-25k,3-5年
58,5588441,杭州,杭州嘿豆科技有限公司,[],150-500人,"移动互联网,电子商务",未融资,下沙,本科,开发|测试|运维类,19:39发布,高级数据分析师,20k-30k,3-5年
59,5520623,杭州,维沃移动通信有限公司,"['年终分红', '带薪年假', '年度旅游', '岗位晋升']",2000人以上,移动互联网,未融资,西湖区,本科,产品|需求|项目类,2019-04-30,数据分析经理,25k-50k,5-10年
60,4406376,杭州,浙江每日互动网络科技股份有限公司,"['绩效奖金', '股票期权', '年底双薪', '专项奖金']",500-2000人,移动互联网,上市公司,西湖区,不限,产品|需求|项目类,3天前发布,数据分析师（广告）,10k-15k,不限
61,5658218,杭州,杭州多准数据技术有限公司,"['开放式办公', '扁平管理', '带薪假期', '弹性工作时间']",50-150人,"数据服务,广告营销",A轮,西湖区,本科,市场|商务类,18:02发布,数据分析总监,40k-50k,5-10年
62,2754441,杭州,杭州微易信息科技有限公司,"['节日礼物', '带薪年假', '年度旅游', '定期体检']",150-500人,"移动互联网,金融",B轮,西湖区,本科,开发|测试|运维类,1天前发布,高级数据分析师,15k-30k,5-10年
63,3360283,杭州,浙江每日互动网络科技股份有限公司,"['绩效奖金', '股票期权', '年底双薪', '专项奖金']",500-2000人,移动互联网,上市公司,西湖区,不限,开发|测试|运维类,3天前发布,数据分析师（咨询）,10k-15k,不限
64,5226459,杭州,杭州康策网络科技有限公司,"['股票期权', '绩效奖金', '专项奖金', '年终分红']",150-500人,"移动互联网,医疗健康",不需要融资,余杭区,大专,产品|需求|项目类,2019-05-06,药品数据分析,15k-30k,不限
65,5822086,杭州,广州哆啦科技有限公司,"['六险一金', '不打卡', '姨妈假', '扁平管理']",2000人以上,"电子商务,移动互联网",C轮,西湖区,本科,开发|测试|运维类,14:54发布,数据分析负责人（杭州）,30k-50k,5-10年
66,5853072,杭州,杭州数理大数据技术有限公司,[],50-150人,数据服务 教育,天使轮,西湖区,本科,产品|需求|项目类,14:37发布,数据分析,9k-18k,1-3年
67,5781664,杭州,杭州迪火科技有限公司,"['股票期权', 'BAT技术', '年度旅游', '五险一金']",500-2000人,"移动互联网 ,O2O",B轮,拱墅区,不限,开发|测试|运维类,2019-05-05,高级数据分析师,13k-26k,1-3年
68,3698324,杭州,支付宝（杭州）信息技术有限公司,"['年底双薪', '带薪年假', '股票期权', '绩效奖金']",2000人以上,"金融,移动互联网",B轮,西湖区,本科,开发|测试|运维类,2019-04-25,蚂蚁金服-数据分析专家/高级专家,30k-60k,不限
69,5829368,杭州,观澜网络（杭州）有限公司,"['扁平管理', '弹性工作', '期权']",500-2000人,"医疗健康,企业服务",D轮及以上,滨江区,本科,产品|需求|项目类,2天前发布,数据分析师（丁香医生&amp;丁香妈妈）,8k-16k,1-3年
70,5745934,杭州,深圳市云积分科技有限公司,"['带薪年假', '年轻团队', '股票期权', '下午茶']",150-500人,"企业服务,移动互联网",天使轮,萧山区,本科,产品|需求|项目类,2天前发布,数据分析师,8k-15k,1-3年
71,5776239,杭州,杭州微拍堂文化创意有限公司,"['岗位晋升', '年度旅游', '年底双薪', '午餐补助']",150-500人,移动互联网,A轮,西湖区,本科,市场|商务类,13:58发布,商业数据分析,15k-30k,3-5年
72,5839424,杭州,杭州十尾网络科技有限公司,"['带薪年假', '扁平管理', '五险一金', '岗位晋升']",50-150人,移动互联网,天使轮,拱墅区,硕士,开发|测试|运维类,13:30发布,商业数据分析师,8k-12k,1-3年
73,5446619,杭州,杭州斯凯网络科技有限公司,"['年终分红', '绩效奖金', '股票期权', '五险一金']",150-500人,"移动互联网,游戏",上市公司,西湖区,本科,产品|需求|项目类,2019-05-08,数据分析师（金融数据方向）,15k-25k,3-5年
74,5040998,杭州,杭州盛锋营销策划有限公司,[],50-150人,数据服务,未融资,拱墅区,本科,开发|测试|运维类,3天前发布,数据分析,6k-8k,3-5年
75,5850850,杭州,杭州悠可化妆品有限公司,"['绩效奖金', '股票期权', '专项奖金', '五险一金']",500-2000人,电子商务,上市公司,江干区,本科,开发|测试|运维类,11:13发布,IT数据分析专员,6k-8k,1-3年
76,4017275,杭州,浙江每日互动网络科技股份有限公司,"['绩效奖金', '股票期权', '年底双薪', '专项奖金']",500-2000人,移动互联网,上市公司,西湖区,本科,产品|需求|项目类,3天前发布,数据分析,10k-15k,1-3年
77,5840232,杭州,杭州微拍堂文化创意有限公司,"['岗位晋升', '年度旅游', '年底双薪', '午餐补助']",150-500人,移动互联网,A轮,西湖区,大专,市场|商务类,11:30发布,商业数据分析师,15k-30k,3-5年
78,4163649,杭州,浙江执御信息技术有限公司,"['交通补助', '通讯津贴', '年度旅游', '年终奖']",2000人以上,"移动互联网,数据服务",C轮,拱墅区,本科,开发|测试|运维类,2天前发布,数据分析经理,25k-30k,3-5年
79,3239539,杭州,杭州湃沃电子商务有限公司,"['带薪年假', '定期体检', '绩效奖金', '年终奖金']",150-500人,电子商务,未融资,江干区,大专,开发|测试|运维类,1天前发布,数据分析专员,5k-8k,不限
